call,generation,method
1,0,birkhoff
2,1,birkhoff
3,2,birkhoff
4,3,birkhoff
5,4,birkhoff
6,5,birkhoff
7,6,birkhoff
8,7,birkhoff
9,8,birkhoff
10,9,birkhoff
11,10,birkhoff
12,11,birkhoff
13,12,birkhoff
14,13,birkhoff
15,14,birkhoff
16,15,birkhoff
17,16,birkhoff
18,17,birkhoff
19,18,birkhoff
20,19,birkhoff
21,20,birkhoff
22,21,birkhoff
23,22,birkhoff
24,23,birkhoff
25,24,birkhoff
26,25,birkhoff
27,26,birkhoff
28,27,birkhoff
29,28,birkhoff
30,29,birkhoff
31,30,birkhoff
32,31,birkhoff
33,32,birkhoff
34,33,birkhoff
35,34,birkhoff
36,35,birkhoff
37,36,birkhoff
38,37,birkhoff
39,38,birkhoff
40,39,birkhoff
41,40,birkhoff
42,41,birkhoff
43,42,birkhoff
44,43,birkhoff
45,44,birkhoff
46,45,birkhoff
47,46,birkhoff
48,47,birkhoff
49,48,birkhoff
50,49,birkhoff
51,50,birkhoff
52,51,birkhoff
53,52,birkhoff
54,53,birkhoff
55,54,birkhoff
56,55,birkhoff
57,56,birkhoff
58,57,birkhoff
59,58,birkhoff
60,59,birkhoff
61,60,birkhoff
62,61,birkhoff
63,62,birkhoff
64,63,birkhoff
65,64,birkhoff
66,65,birkhoff
67,66,birkhoff
68,67,birkhoff
69,68,birkhoff
70,69,birkhoff
71,70,birkhoff
72,71,birkhoff
73,72,birkhoff
74,73,birkhoff
75,74,birkhoff
76,75,birkhoff
77,76,birkhoff
78,77,birkhoff
79,78,birkhoff
80,79,birkhoff
81,80,birkhoff
82,81,birkhoff
83,82,birkhoff
84,83,birkhoff
85,84,birkhoff
86,85,birkhoff
87,86,birkhoff
88,87,birkhoff
89,88,birkhoff
90,89,birkhoff
91,90,birkhoff
92,91,birkhoff
93,92,birkhoff
94,93,birkhoff
95,94,birkhoff
96,95,birkhoff
97,96,birkhoff
98,97,birkhoff
99,98,birkhoff
100,99,birkhoff
